Time CPU_use RAM_filled Net_bytes_sent Net_bytes_received Temperature Disk_IO_percentage
14:46:23 52.8 902660096 708323638 82979948 50.634 0.044994806014548624
14:46:24 45.9 902176768 708334758 82980906 52.095 0.05910426529709911
14:46:25 55.3 902582272 708335254 82981402 51.121 0.05910426529709911
14:46:26 55.9 902582272 708335750 82981898 52.095 0.05910426529709911
14:46:27 55.1 902660096 708336246 82982394 49.66 0.05910426529709911
14:46:28 56.4 903016448 708336742 82982890 51.121 0.05910388851677016
14:46:29 52.6 901550080 708346582 82983892 50.634 0.05910388851677016
14:46:30 55.2 898514944 708347078 82984388 51.121 0.05910388851677016
14:46:31 56.7 898969600 708347574 82984884 51.608 0.05910388851677016
14:46:32 56.7 900952064 708348070 82985380 50.634 0.059103834691401035
14:46:33 52.6 901611520 708348566 82985876 50.634 0.059194742049804634
14:46:34 54.2 901799936 708356724 82986748 49.66 0.059194742049804634
14:46:35 54.2 901799936 708357220 82987244 51.608 0.059194742049804634
14:46:36 56.5 901799936 708357716 82987740 51.121 0.059194742049804634
14:46:37 56.1 901095424 708358212 82988236 50.634 0.059194742049804634
14:46:38 51.2 901345280 708358708 82988732 50.634 0.05919458032636249
14:46:39 55.2 900866048 708367592 82989604 50.634 0.05919458032636249
14:46:40 56.2 901017600 708368088 82990100 51.608 0.05919458032636249
14:46:41 57.5 901275648 708368584 82990596 51.608 0.05919458032636249
14:46:42 56.7 902893568 708369080 82991092 51.121 0.05919458032636249
14:46:43 45.1 903409664 708369576 82991588 50.634 0.05919458032636249
14:46:44 55.2 903651328 708378308 82992460 51.608 0.05919441860380402
14:46:45 55.1 903286784 708378804 82992956 50.634 0.05919441860380402
14:46:46 55.4 903286784 708379456 82993608 51.608 0.059194149068170256
14:46:47 55.6 903606272 708379952 82994104 51.608 0.05919371781626179
14:46:48 46.7 903454720 708380754 82994600 50.634 0.059284785074440655
14:46:49 53.3 902004736 708392320 82995542 50.634 0.0732987963973414
14:46:50 56.9 902520832 708393824 82996454 50.634 0.0732987963973414
14:46:51 55.8 902750208 708395321 82997391 50.147 0.07329819572621439
14:46:52 55.7 902811648 708395817 82997887 51.608 0.07329819572621439
14:46:53 52.6 901488640 708396543 82998383 51.121 0.07329819572621439
14:46:54 55.4 901451776 708404091 82999255 51.121 0.07329819572621439
14:46:55 57.7 901451776 708404657 82999821 51.608 0.07329819572621439
14:46:56 54.7 901709824 708405153 83000317 51.608 0.07329819572621439
14:46:57 55.2 903032832 708405649 83000813 51.121 0.07329799550469313
14:46:58 52.2 902418432 708412755 83001685 51.121 0.07329799550469313
14:46:59 56.5 902934528 708413251 83002181 51.608 0.07329799550469313
14:47:00 56.1 903188480 708413817 83002747 51.608 0.07338904891525797
14:47:01 56.2 904290304 708414773 83003361 50.147 0.07338904891525797
14:47:02 55.2 904290304 708415269 83003857 51.121 0.07338904891525797
14:47:03 44.7 903954432 708422311 83004729 51.608 0.07338871480061898
14:47:04 54.9 904212480 708422807 83005225 50.147 0.07347976779664953
14:47:05 55.9 904212480 708423303 83005721 51.608 0.07347976779664953
14:47:06 55.7 905314304 708423799 83006217 51.608 0.07347976779664953
14:47:07 54.7 904896512 708424295 83006713 52.095 0.07347976779664953
14:47:08 52.8 904167424 708432711 83007659 50.147 0.07347943327052223
14:47:09 55.3 904015872 708433207 83008155 51.121 0.07347943327052223
14:47:10 54.4 904949760 708433703 83008651 52.095 0.07347943327052223
14:47:11 54.9 905793536 708434199 83009147 51.121 0.07347943327052223
14:47:12 56.3 905535488 708434695 83009643 51.121 0.07347943327052223
14:47:13 51.8 904425472 708441649 83010445 50.634 0.07347923255630791
14:47:14 56.9 904167424 708442145 83010941 50.634 0.07347923255630791
14:47:15 55.0 904531968 708442641 83011437 51.608 0.07347923255630791
14:47:16 56.9 904859648 708443137 83011933 52.095 0.07347923255630791
14:47:17 55.7 904753152 708443633 83012429 51.608 0.07347923255630791
14:47:18 51.8 904007680 708445715 83013161 51.121 0.0734790318431901
14:47:19 55.4 904417280 708446325 83013755 51.121 0.0734790318431901
14:47:20 56.4 904933376 708446821 83014321 51.121 0.0734790318431901
14:47:21 55.4 905003008 708447317 83014817 51.608 0.0734790318431901
14:47:22 55.6 906035200 708447813 83015313 51.121 0.0734790318431901
14:47:23 46.5 906731520 708449605 83016105 51.121 0.07347816209901706
14:47:24 56.3 906534912 708450101 83016601 52.095 0.07347816209901706
14:47:25 55.4 906989568 708450667 83017167 51.608 0.07347816209901706
14:47:26 54.7 907317248 708451163 83017663 51.608 0.07347816209901706
14:47:27 54.4 907833344 708451659 83018159 51.608 0.07347816209901706
14:47:28 53.1 906444800 708453805 83019387 52.095 0.07347816209901706
14:47:29 57.5 906436608 708454229 83019811 52.095 0.07347796139174725
14:47:31 56.1 906694656 708454867 83020449 51.121 0.07347796139174725
14:47:32 55.9 906764288 708455363 83020945 50.634 0.07347796139174725
14:47:33 53.9 907796480 708455859 83021441 51.608 0.07347796139174725
14:47:34 48.2 907210752 708457585 83022173 51.121 0.07347796139174725
14:47:35 54.1 907210752 708458081 83022669 51.121 0.07347796139174725
14:47:36 55.1 907460608 708458577 83023165 51.121 0.0734777606855739
14:47:37 55.2 907530240 708459073 83023661 51.121 0.0734777606855739
14:47:38 53.8 907530240 708459569 83024157 49.66 0.0734777606855739
14:47:39 53.9 907460608 708461215 83024889 51.121 0.07347769378375979
14:47:40 55.5 907718656 708461711 83025385 51.608 0.07356874420976198
14:47:41 55.6 907968512 708462207 83025881 52.095 0.07356854325634586
14:47:42 55.8 907616256 708462703 83026377 52.095 0.07356854325634586
14:47:43 52.8 907481088 708463341 83026873 50.634 0.07356854325634586
14:47:44 55.1 907956224 708464761 83027605 50.634 0.07356854325634586
14:47:45 56.5 908578816 708465257 83028101 50.634 0.07356854325634586
14:47:46 56.5 908980224 708465753 83028597 51.121 0.07356834230402755
14:47:47 55.4 908275712 708466405 83029249 50.634 0.07356834230402755
14:47:48 52.5 908869632 708468129 83029863 51.608 0.07356834230402755
14:47:49 55.3 908980224 708468625 83030359 51.121 0.07356834230402755
14:47:50 57.5 908722176 708469333 83031153 51.121 0.07356834230402755
14:47:51 55.9 908722176 708469829 83031649 52.095 0.07356834230402755
14:47:52 55.5 909557760 708470325 83032145 51.608 0.07356814135280704
14:47:53 52.3 909484032 708471737 83032759 51.121 0.07356814135280704
14:47:54 56.1 909344768 708472233 83033255 51.608 0.07356814135280704
14:47:55 55.4 909193216 708472771 83033811 51.121 0.07356814135280704
14:47:56 54.9 908935168 708473267 83034307 51.121 0.07356814135280704
14:47:57 55.6 911040512 708473833 83034873 51.608 0.07356794040268431
14:47:58 46.6 910458880 708475081 83035487 51.121 0.07356794040268431
14:47:59 55.5 910561280 708475577 83036361 51.608 0.07356794040268431
14:48:00 56.0 910041088 708476073 83036857 51.121 0.07365898983387575
14:48:01 54.8 910966784 708477213 83037541 51.608 0.07365898983387575
14:48:02 56.8 910999552 708477709 83038037 52.095 0.07365878863615154
14:48:03 52.6 910708736 708478961 83038651 50.634 0.07365878863615154
